166.111.26.5	124.16.145.127	0
>	ignoring	0
>	service(sshd)	0
>	retries;	0
ignoring	service(sshd)	0
ignoring	retries;	0
service(sshd)	retries;	0
failures	many	0
failures	Too	0
many	Too	0
[187.217.200.210]	customer-187-217-200-210.uninet-ide.com.mx	0
82-78-146-141.static.brasov.rdsnet.ro	[82.78.146.141]	0
ip-221-155.dataclub.biz	[46.183.221.155]	0
[168.187.232.195]	bitto.kems.net	0
Disconnecting	failures	3.12E-04
Disconnecting	many	3.12E-04
Disconnecting	Too	3.12E-04
185.93.187.109	46.183.221.155	0.005653452
181.112.229.30	104.41.60.151	0.005959061
110.45.132.219	82.78.146.141	0.011175217
49.117.147.92	61.241.82.125	0.01331934
82-78-146-141.static.brasov.rdsnet.ro	40.76.77.215	0.01476669
[82.78.146.141]	40.76.77.215	0.01476669
104.41.60.151	ip-221-155.dataclub.biz	0.015385049
104.41.60.151	[46.183.221.155]	0.015385049
181.112.229.30	ip-221-155.dataclub.biz	0.02134411
181.112.229.30	[46.183.221.155]	0.02134411
deployer	Test	0.02420975
103.53.84.13	40.78.56.43	0.024763915
13.73.1.173	120.52.21.138	0.028322068
191.205.248.38	104.41.203.61	0.0418307
218.87.109.253	59.63.188.53	0.046698948
185.130.5.179	104.209.141.122	0.065270498
ip-221-155.dataclub.biz	119.146.221.68	0.066015812
[46.183.221.155]	119.146.221.68	0.066015812
104.41.60.151	119.146.221.68	0.081400861
181.112.229.30	119.146.221.68	0.087359922
168.187.232.195	59.45.79.116	0.090434081
Disconnecting	6	0.095097771
6	failures	0.095141903
6	many	0.095141903
6	Too	0.095141903
46.183.221.155	191.205.248.38	0.096775086
more	failures;	0.099115996
185.93.187.109	191.205.248.38	0.102428538
[168.187.232.195]	49.117.147.92	0.103732487
bitto.kems.net	49.117.147.92	0.103732487
>	5	0.115856056
ignoring	5	0.115856056
service(sshd)	5	0.115856056
retries;	5	0.115856056
[168.187.232.195]	61.241.82.125	0.117051827
bitto.kems.net	61.241.82.125	0.117051827
211.58.11.166	40.76.53.11	0.125978771
59.63.188.53	187.217.200.210	0.13455278
46.183.221.155	104.41.203.61	0.138605785
185.93.187.109	104.41.203.61	0.144259238
203.156.189.226	[187.217.200.210]	0.146937147
203.156.189.226	customer-187-217-200-210.uninet-ide.com.mx	0.146937147
61.182.227.182	93.158.215.96	0.173988937
218.87.109.253	187.217.200.210	0.181251728
jira	jason	0.190439153
187.217.200.210	203.156.189.226	0.281803813
PAM	failures;	0.286199293
104.41.203.61	181.112.229.30	0.287311986
40.76.77.215	222.186.56.123	0.290441393
104.41.203.61	104.41.60.151	0.293271047
PAM	more	0.301169201
82-78-146-141.static.brasov.rdsnet.ro	222.186.56.123	0.305208083
[82.78.146.141]	222.186.56.123	0.305208083
104.41.203.61	ip-221-155.dataclub.biz	0.308656096
104.41.203.61	[46.183.221.155]	0.308656096
120.52.21.138	211.58.11.166	0.321023824
191.205.248.38	181.112.229.30	0.329142686
59.45.79.116	[168.187.232.195]	0.331068153
59.45.79.116	bitto.kems.net	0.331068153
191.205.248.38	104.41.60.151	0.335101746
13.73.1.173	211.58.11.166	0.349345892
191.205.248.38	ip-221-155.dataclub.biz	0.350486795
191.205.248.38	[46.183.221.155]	0.350486795
3	>	0.351472557
3	ignoring	0.351472557
3	service(sshd)	0.351472557
3	retries;	0.351472557
3	5	0.367175583
tomcat	webadmin	0.37371586
104.41.203.61	119.146.221.68	0.374671908
59.63.188.53	203.156.189.226	0.416356594
191.205.248.38	119.146.221.68	0.416502608
168.187.232.195	[168.187.232.195]	0.421502233
168.187.232.195	bitto.kems.net	0.421502233
46.183.221.155	181.112.229.30	0.425917771
187.217.200.210	[187.217.200.210]	0.428740961
187.217.200.210	customer-187-217-200-210.uninet-ide.com.mx	0.428740961
[187.217.200.210]	61.182.227.182	0.428785129
customer-187-217-200-210.uninet-ide.com.mx	61.182.227.182	0.428785129
185.93.187.109	181.112.229.30	0.431571224
46.183.221.155	104.41.60.151	0.431876832
59.45.79.116	49.117.147.92	0.43480064
185.93.187.109	104.41.60.151	0.437530284
120.52.21.138	40.76.53.11	0.447002595
46.183.221.155	ip-221-155.dataclub.biz	0.447261881
46.183.221.155	[46.183.221.155]	0.447261881
59.45.79.116	61.241.82.125	0.44811998
185.93.187.109	ip-221-155.dataclub.biz	0.452915334
185.93.187.109	[46.183.221.155]	0.452915334
82.78.146.141	82-78-146-141.static.brasov.rdsnet.ro	0.453380084
82.78.146.141	[82.78.146.141]	0.453380084
218.87.109.253	203.156.189.226	0.463055541
110.45.132.219	82-78-146-141.static.brasov.rdsnet.ro	0.464555301
110.45.132.219	[82.78.146.141]	0.464555301
82.78.146.141	40.76.77.215	0.468146774
13.73.1.173	40.76.53.11	0.475324664
110.45.132.219	40.76.77.215	0.479321991
ubuntu	webadmin	0.505942161
46.183.221.155	119.146.221.68	0.513277693
185.93.187.109	119.146.221.68	0.518931146
168.187.232.195	49.117.147.92	0.52523472
168.187.232.195	61.241.82.125	0.53855406
104.45.135.78	202.108.52.158	0.543351268
40.78.56.43	deployer	0.560593627
59.63.188.53	[187.217.200.210]	0.563293741
59.63.188.53	customer-187-217-200-210.uninet-ide.com.mx	0.563293741
ts	test2	0.563897682
117.21.225.198	13.73.1.173	0.570414108
203.156.189.226	61.182.227.182	0.575722276
minecraft	ts3	0.578634296
max	>	0.581649347
max	ignoring	0.581649347
max	service(sshd)	0.581649347
max	retries;	0.581649347
40.78.56.43	Test	0.584803377
103.53.84.13	deployer	0.585357542
40.76.77.215	14.18.239.180	0.596670051
117.21.225.198	120.52.21.138	0.598736177
82-78-146-141.static.brasov.rdsnet.ro	14.18.239.180	0.599561744
[82.78.146.141]	14.18.239.180	0.599561744
[187.217.200.210]	93.158.215.96	0.602774066
customer-187-217-200-210.uninet-ide.com.mx	93.158.215.96	0.602774066
PAM	3	0.602797605
103.53.84.13	Test	0.609567292
218.87.109.253	[187.217.200.210]	0.609992688
218.87.109.253	customer-187-217-200-210.uninet-ide.com.mx	0.609992688
3	failures;	0.61099762
14.18.239.180	222.186.56.123	0.613696653
ts3	jenkins	0.6193043
teamspeak	ts3	0.621182605
61.244.111.77	185.130.5.179	0.637045876
61.244.111.77	104.209.141.122	0.641514484
202.120.32.223	203.113.9.59	0.643795071
ubuntu	tomcat	0.645109463
Test	asterisk	0.647797314
max	5	0.652408461
deployer	asterisk	0.652643708
developer	alex	0.660459247
60.173.8.73	185.93.187.109	0.663417262
60.173.8.73	46.183.221.155	0.669070715
166.111.7.72	203.113.9.59	0.688479599
3	more	0.694519638
3	max	0.72643069
debian	jboss	0.74746898
203.156.189.226	93.158.215.96	0.749711213
minecraft	jenkins	0.754484566
jboss	webadmin	0.75666739
82.78.146.141	222.186.56.123	0.758588167
60.173.8.73	191.205.248.38	0.7658458
110.45.132.219	222.186.56.123	0.769763384
ts	zabbix	0.772149767
ts	openbravo	0.776416269
openbravo	test2	0.790976276
test2	jason	0.791226876
60.173.8.73	104.41.203.61	0.8076765
82.78.146.141	14.18.239.180	0.823363915
>	6	0.824610032
ignoring	6	0.824610032
service(sshd)	6	0.824610032
retries;	6	0.824610032
jira	test2	0.826481803
110.45.132.219	14.18.239.180	0.831245516
teamspeak	redmine	0.832287626
zabbix	test2	0.835367135
>	failures	0.835665316
>	many	0.835665316
>	Too	0.835665316
ignoring	failures	0.835665316
ignoring	many	0.835665316
ignoring	Too	0.835665316
service(sshd)	failures	0.835665316
service(sshd)	many	0.835665316
service(sshd)	Too	0.835665316
retries;	failures	0.835665316
retries;	many	0.835665316
retries;	Too	0.835665316
>	Disconnecting	0.835718159
ignoring	Disconnecting	0.835718159
service(sshd)	Disconnecting	0.835718159
retries;	Disconnecting	0.835718159
openbravo	jason	0.853026512
187.217.200.210	61.182.227.182	0.857526089
40.76.53.11	218.200.188.213	0.861082529
119.146.221.68	pi	0.87053477
postgres	webadmin	0.872325123
teamspeak	minecraft	0.883203173
Test	webadmin	0.886732579
3	6	0.891730542
211.58.11.166	218.200.188.213	0.897507081
postgres	deploy	0.899276429
5	6	0.89991674
usuario	Test	0.900112088
usuario	deployer	0.904795308
postgres	pi	0.906231892
deployer	webadmin	0.90776653
5	failures	0.909602777
5	many	0.909602777
5	Too	0.909602777
5	Disconnecting	0.909650075
3	failures	0.909703639
3	many	0.909703639
3	Too	0.909703639
3	Disconnecting	0.909776399
ip-221-155.dataclub.biz	pi	0.912203652
[46.183.221.155]	pi	0.912203652
tomcat	asterisk	0.9126619
117.21.225.198	211.58.11.166	0.919760001
PAM	>	0.920674319
PAM	ignoring	0.920674319
PAM	service(sshd)	0.920674319
PAM	retries;	0.920674319
104.41.60.151	pi	0.922323145
181.112.229.30	pi	0.926281662
PAM	5	0.927160395
failures;	>	0.928693281
failures;	ignoring	0.928693281
failures;	service(sshd)	0.928693281
failures;	retries;	0.928693281
failures;	5	0.930659549
redmine	ts3	0.930741002
webadmin	asterisk	0.931343646
alex	jira	0.941791656
40.78.56.43	asterisk	0.9485349
ubuntu	jboss	0.950286277
max	failures	0.955115104
max	many	0.955115104
max	Too	0.955115104
max	Disconnecting	0.955202538
tomcat	Test	0.96434244
103.53.84.13	asterisk	0.967027888
teamspeak	teamspeak3	0.96916576
teamspeak	tomcat	0.971488701
zabbix	tomcat	0.974816188
test2	webadmin	0.975596119
openbravo	jira	0.977179215
postgres	ubuntu	0.978758709
minecraft	usuario	0.983182741
alex	jason	0.983852485
tomcat	deployer	0.984057295
max	6	0.984593457
teamspeak	postgres	0.985024645
postgres	ts3	0.991787615
59.63.188.53	61.182.227.182	0.99207887
tomcat	test2	1.006444404
minecraft	deploy	1.008708466
developer	jira	1.017121644
postgres	minecraft	1.017534347
more	>	1.018894211
more	ignoring	1.018894211
more	service(sshd)	1.018894211
more	retries;	1.018894211
more	5	1.023538214
developer	jason	1.024187725
187.217.200.210	93.158.215.96	1.031515027
developer	test2	1.032275591
redmine	openbravo	1.034699442
postgres	redmine	1.038350977
218.87.109.253	61.182.227.182	1.038777817
teamspeak	jenkins	1.039506988
teamspeak3	usuario	1.040632899
postgres	tomcat	1.041174187
ts	redmine	1.041881816
teamspeak	webadmin	1.042750878
117.21.225.198	40.76.53.11	1.045738772
120.52.21.138	218.200.188.213	1.054631182
redmine	webadmin	1.056178814
teamspeak	asterisk	1.066260006
13.73.1.173	218.200.188.213	1.072008375
tomcat	jboss	1.075969843
postgres	jenkins	1.078009235
ts	tomcat	1.083685568
ubuntu	test2	1.084933099
redmine	tomcat	1.085612181
teamspeak	usuario	1.093598387
root	93.158.215.96	1.094022815
60.173.8.73	181.112.229.30	1.094988486
ts3	deploy	1.096109452
test2	deploy	1.098946987
60.173.8.73	104.41.60.151	1.100947547
PAM	max	1.101771267
Test	deploy	1.10762022
failures;	6	1.108503605
teamspeak3	asterisk	1.108539386
Test	test2	1.111852923
failures;	failures	1.112387435
failures;	many	1.112387435
failures;	Too	1.112387435
failures;	Disconnecting	1.11247198
60.173.8.73	ip-221-155.dataclub.biz	1.116332596
60.173.8.73	[46.183.221.155]	1.116332596
alex	jboss	1.117246665
minecraft	Test	1.120083855
deployer	deploy	1.121575075
teamspeak	Test	1.122082433
deployer	test2	1.123544538
openbravo	webadmin	1.125070445
minecraft	deployer	1.129558952
166.111.7.72	202.120.32.223	1.130255386
teamspeak	deployer	1.130684979
max	failures;	1.136676746
104.41.203.61	pi	1.138014728
debian	webadmin	1.142894669
developer	deploy	1.143484135
ts	deploy	1.145121643
deploy	webadmin	1.148540692
jboss	jason	1.148780616
zabbix	teamspeak3	1.150867595
tomcat	usuario	1.150913791
webadmin	jason	1.152224816
guest	222.186.56.123	1.153246886
40.78.56.43	usuario	1.158542862
openbravo	tomcat	1.158585963
zabbix	deploy	1.159647547
redmine	jenkins	1.161404236
89.233.175.168	103.53.84.13	1.163100437
teamspeak3	ts3	1.163404612
developer	openbravo	1.164169367
ts	webadmin	1.164533738
ubuntu	redmine	1.164891327
59.63.188.53	93.158.215.96	1.166067807
more	6	1.169828129
191.205.248.38	pi	1.171529633
103.53.84.13	usuario	1.174668291
more	failures	1.175250177
more	many	1.175250177
more	Too	1.175250177
more	Disconnecting	1.175335631
PAM	6	1.17816562
ubuntu	openbravo	1.182210626
60.173.8.73	119.146.221.68	1.182348408
jboss	Test	1.182540589
PAM	failures	1.183911457
PAM	many	1.183911457
PAM	Too	1.183911457
PAM	Disconnecting	1.183964194
zabbix	usuario	1.186037377
89.233.175.168	40.78.56.43	1.187864352
minecraft	redmine	1.188128797
zabbix	webadmin	1.18860537
jboss	asterisk	1.189128744
postgres	119.146.221.68	1.190747571
ubuntu	40.76.53.11	1.190977821
ts	jason	1.193375984
jboss	deployer	1.195565102
deploy	asterisk	1.199918673
ts3	usuario	1.199931019
root	61.182.227.182	1.200877294
zabbix	asterisk	1.203107123
